13:26:04 INFO  Thread-2 20645 Actor:185 - Courier invoking listener for Charlie
13:26:04 INFO  Thread-2 20645 Courier:209 - received outcome = Charlie
13:26:04 INFO  Thread-2 20647 ATable:619 - CHARLIE for hid = JennaLaptop:YOU:272FC62545BC05ED
13:26:05 INFO  Thread-2 21630 Actor:185 - Courier waiting for connection on port 8001
13:26:05 INFO  Thread-2 21630 Actor:185 - Courier accepted connection on port 8001
13:26:05 INFO  Thread-2 21633 Actor:185 - Courier received message Play
13:26:05 INFO  Thread-2 21633 Actor:185 - Courier invoking listener for Play
13:26:05 INFO  Thread-2 21633 Courier:278 - got turn = JennaLaptop:DEALER:3667603882C7FB3B
13:26:05 INFO  Thread-2 21635 Actor:185 - Courier waiting for connection on port 8001
13:26:05 INFO  Thread-2 21636 Actor:185 - Courier accepted connection on port 8001
13:26:05 INFO  Thread-2 21640 Actor:185 - Courier received message Deal
13:26:05 INFO  Thread-2 21640 Actor:185 - Courier invoking listener for Deal
13:26:05 INFO  Thread-2 21641 Courier:268 - received card = null values = 17/17 hid = JennaLaptop:DEALER:3667603882C7FB3B
13:26:05 INFO  Thread-2 21641 Actor:185 - Courier waiting for connection on port 8001
13:26:05 INFO  Thread-2 21641 Actor:185 - Courier accepted connection on port 8001
13:26:05 INFO  Thread-2 21644 Actor:185 - Courier received message GameOver
13:26:05 INFO  Thread-2 21645 Actor:185 - Courier invoking listener for GameOver
13:26:05 INFO  Thread-2 21645 Courier:289 - received ending shoe size = 3
13:26:05 INFO  Thread-2 21650 ATable:685 - num hands = 2 wins = 1 loses = 0 pushes = 0
13:26:05 INFO  Thread-2 21651 Actor:185 - Courier waiting for connection on port 8001
13:26:08 INFO  Thread-15 24411 ATable:204 - side bet = 0
13:26:08 INFO  Thread-15 24411 Actor:185 - Courier sending Bet to 127.0.0.1:8501
13:26:08 INFO  Thread-15 24414 Actor:185 - Courier sent successfully Bet to 127.0.0.1:8501
13:26:08 INFO  Thread-2 24421 Actor:185 - Courier accepted connection on port 8001
